"Dataset","Element","Region","Sub-region","Year","Millions of metric tons"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Food grain demand","Asia","East Asia","2024","5.5"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Other grain demand","Asia","East Asia","2024","1.3"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Grain production","Asia","East Asia","2024","4.7"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Implied additional supply required","Asia","East Asia","2024","2.1"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Total grain demand","Asia","East Asia","2024","6.8"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Food grain demand","Asia","South Asia","2024","357"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Other grain demand","Asia","South Asia","2024","79.9"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Grain production","Asia","South Asia","2024","434.2"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Implied additional supply required","Asia","South Asia","2024","2.7"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Total grain demand","Asia","South Asia","2024","436.9"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Food grain demand","Asia","South East Asia","2024","142.1"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Other grain demand","Asia","South East Asia","2024","55.7"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Grain production","Asia","South East Asia","2024","134.4"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Implied additional supply required","Asia","South East Asia","2024","63.5"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Total grain demand","Asia","South East Asia","2024","197.9"
"Grain food demand, other demand, total demand, production, and implied additional supply required for International Food Security Assessment countries","Food grain demand","Former Soviet Union","Former Soviet Union","2024","20.8"
